Inventory ID,Description,Item Group
TAG 56CF 04,"BAG-7 1/16 X 36""",
TAG 56CF 04,"BAG-7 1/16 X 36""",
TAG 56CF 04,"BAG-7 1/16 X 36""",
TAG 56CF 04/2,"BAG-7 1/16 X 20""",
TAG 56CF 04/2,"BAG-7 1/16 X 20""",
TAG 56CF 04/2,"BAG-7 1/16 X 20""",
TAG 56CF 04F,"BAG-7 FLUX COATED 1/16 X 20""",
TAG 56CF 04F,"BAG-7 FLUX COATED 1/16 X 20""",
TAG 56CF 04F,"BAG-7 FLUX COATED 1/16 X 20""",
TAG 56CF 04F,"BAG-7 FLUX COATED 1/16 X 20""",
TAG 56CF 04F/25,"BAG-7 FLUX COATED 1/16 X 20"" (8 STICKS)",
TAG 56CF 04F/25,"BAG-7 FLUX COATED 1/16 X 20"" (8 STICKS)",
TAG 56CF 04F/25,"BAG-7 FLUX COATED 1/16 X 20"" (8 STICKS)",
TAG 56CF 05,"BAG-7 3/32 X 36""",
TAG 56CF 05,"BAG-7 3/32 X 36""",
TAG 56CF 05F,"BAG-7 FLUX COATED 3/32 X 20""",
TAG 56CF 05F,"BAG-7 FLUX COATED 3/32 X 20""",
TAG 56CF 05F,"BAG-7 FLUX COATED 3/32 X 20""",
TAG 56CF 05F,"BAG-7 FLUX COATED 3/32 X 20""",
TAG 56CF 05F/25,"BAG-7 FLUX COATED 3/32 X 20"" (3 STICKS)",
TAG 56CF 05F/25,"BAG-7 FLUX COATED 3/32 X 20"" (3 STICKS)",
TAG 56CF 06,"BAG-7 1/8 X 36""",
TAG 56CF 06,"BAG-7 1/8 X 36""",
TAG 56CF 06C,BAG-7 .030 X 50 TO COIL,
TAG 56CF 06F,"BAG-7 FLUX COATED 1/8 X 20""",
TAG 56CF 06F,"BAG-7 FLUX COATED 1/8 X 20""",
